name	domain	category	rounds	com_status	price	renewal	premium	fed_active	fed_dissolved	fed_total	fed_sample	verdict	decided_at
Calanence	calanence.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:23
Elmpath	elmpath.com	two_word_pro	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:24
Ervaron	ervaron.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:30
Holdfield	holdfield.com	two_word_pro	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:31
Holdwright	holdwright.com	two_word_pro	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:31
Iverando	iverando.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:31
Ivermel	ivermel.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:31
Lumanence	lumanence.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:34
Lumarric	lumarric.com	pro_invented_short	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:34
Lumatial	lumatial.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:34
Lumatier	lumatier.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:34
Lumavos	lumavos.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:34
M34Digital	m34digital.com	personal_brand	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:35
Marvedos	marvedos.com	enterprise_invented	v2	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:37
Pravantis	pravantis.com	latin_long	v6	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:45
Solandel	solandel.com	enterprise_invented	v2	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:46
Solbrith	solbrith.com	modern_abstract	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:46
Solderon	solderon.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:46
Solendrik	solendrik.com	pro_invented_long	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:46
Solendris	solendris.com	latin_long	v6	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:46
Solovaris	solovaris.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:46
Solvedos	solvedos.com	enterprise_invented	v2	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:46
Solwright	solwright.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:46
Sondrik	sondrik.com	pro_invented_short	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:47
Tendrin	tendrin.com	pro_invented_short	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:47
Tovaron	tovaron.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:47
Vernath	vernath.com	pro_invented_short	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:49
Verond	verond.com	pro_invented_short	v1	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:49
Caldanti	caldanti.com	tech_modern	v3	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:49
Calraxis	calraxis.com	tech_latin_abstract	v3	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:49
Cendore	cendore.com	tech_mid	v3	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:49
Plymara	plymara.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:50
Sindalor	sindalor.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:50
Solavos	solavos.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:50
Solitheon	solitheon.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:50
Stelandor	stelandor.com	tech_mid	v3	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:50
Strydora	strydora.com	tech_general	v4	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:51
Welvor	welvor.com	tech_general	v5	AVAILABLE	11.08	11.08	no	0	0	0		CLEAR	2026-05-08 20:51
